Latitude,Longitude,Change in first leaf date
37.6,-101.29,4.763888889
39.01,-99.87,-7.575
39.21,-96.37,-4.7
39.81,-97.06,-2.053571429
37.27,-97.42,5.814285714
37.29,-96.94,2.771428571
38.12,-83.53,3.75
37.76,-87.65,3.025
37.35,-87.52,-0.222222222
36.61,-88.3,1.125
36.75,-86.23,3.05
31.32,-92.46,3.126984127
30.2,-91.13,1.925
30.07,-91.03,3.4
30.42,-92.04,1.157142857
32.81,-93.06,12.83333333
29.96,-91.71,1.555555556
30.2,-92.66,4.842857143
31.14,-93.24,2.3
30.73,-91.37,-2.45
44.4,-68.99,2.175
44.92,-69.24,-3.625
44.69,-70.16,0.7
44.22,-69.79,-2.8
44.8,-69.89,2.486111111
45.15,-67.4,-3.412698413
39.03,-76.93,-14.325
39.64,-77.7,-7.375
38.94,-77.11,1.166666667
38.91,-76.97,-4.416666667
39.41,-79.4,-15.31428571
38.72,-76.19,-6.325
39.51,-79.14,-11.375
38.23,-75.38,-8.166666667
42.39,-72.54,-2.4
42.21,-71.11,-6.75
41.39,-70.52,-22.73611111
42.76,-71.06,-1.35
42.59,-71.02,-3.916666667
41.79,-70.92,-8.888888889
41.92,-84.02,-7
42.3,-83.66,-10.75
46.59,-89.55,4
42.38,-85.96,-2.936507937
45.65,-84.47,5.35
41.96,-84.99,-7.475
44.28,-83.5,0.125
45.03,-84.71,4.888888889
44.65,-84.7,1.175
43.2,-85.24,-2.222222222
43.83,-82.64,3.271428571
42.64,-85.29,-2.888888889
44.31,-84.89,-2.555555556
45.79,-88.08,0.125
46.47,-90.19,2.694444444
44.31,-85.21,0.8
45.95,-86.25,6.75
43.46,-86.42,-1.75
45.41,-84.22,-3.875
45.37,-84.98,6.5
42.98,-82.42,-5.746031746
46.06,-88.63,5.05
44.01,-83.9,-0.271428571
41.93,-85.64,-0.652777778
45.17,-84.44,4.125
44.25,-84.2,-1.361111111
43.61,-93.3,-3.444444444
45.39,-96.13,-2.968253968
43.65,-92.97,-2.775
44.72,-96.27,-1.125
45.58,-94.39,-2.675
47.82,-96.61,3.3
43.7,-92.56,-3.15
47.24,-93.5,-3.957142857
47.23,-95.19,-1.428571429
44.65,-93.64,-1.025
47.25,-94.22,1.933333333
45.13,-94.53,0.125
45.96,-94.89,1.4
44.47,-95.79,-3.25
45.12,-95.93,-6.7
45.59,-95.87,-1.775
46.67,-94.11,-3
44.01,-96.33,-6.025
47.88,-96.28,-0.75
44.72,-93.1,-2.928571429
44.24,-95.63,-0.675
44.07,-93.53,-2.225
45.81,-96.5,0.814285714
43.88,-95.12,-7.214285714
43.76,-94.17,-5.55
44.3,-92.67,-0.466666667
31.25,-89.34,0.833333333
34.37,-89.53,5.027777778
39.89,-94.36,-3.1
38.19,-94.02,0.057142857
40.14,-91.52,-6.652777778
39.36,-93.49,-3.1
39.16,-90.78,-11.06666667
37.79,-90.41,-0.111111111
39.72,-91.37,-5.575
37.38,-89.67,5.228571429
38.58,-92.18,-0.152777778
38.2,-92.62,-9.525
37.6,-94.28,-4.7
37.55,-91.88,-4.2
37.39,-93.95,2.075
37.32,-92.98,1.125
37.15,-92.26,4.472222222
36.87,-94.36,1.9
37.84,-94.37,1.222222222
39.42,-92.81,-1.7
39.64,-91.25,-5.523809524
38.68,-93.22,4.925
39.97,-91.89,-2.3
38.97,-93.42,-0.266666667
37.81,-92.23,-0.266666667
47.88,-114.03,-5.7
45.83,-109.95,-2.55
45.77,-108.48,-4.875
45.66,-111.05,-9.3
48.52,-105.3,-7.166666667
45.44,-105.41,-16.45
45.54,-106.96,-9.25
48.59,-109.23,-0.725
47.82,-112.19,-12.5
45.89,-106.63,-7.4
45.64,-109.27,-5
48.19,-114.13,0.975
48.15,-104.52,-9.6
45.21,-112.64,-5.7
45.89,-104.55,-10.325
45.34,-111.71,-7.15
47.62,-111.99,-3.966666667
46.82,-108.37,-12.075
48.5,-109.8,-6.914285714
47.6,-112.75,6.5
47.03,-108.8,-11.86111111
46.99,-112.01,-5.25
48.34,-114.02,-7.325
45.92,-108.25,-11.26388889
46.29,-107.23,-8.714285714
48.3,-114.26,-4.1
46.6,-107.87,-11.2
45.24,-109.73,-1.35
45.49,-111.63,-15.625
48.7,-106.32,1.6
47.68,-114.24,-1.722222222
45.97,-109.25,-9.214285714
45.18,-109.26,-6.85
47.45,-104.34,-11.6
46.79,-105.3,-10.775
46.3,-111.45,-16.03333333
48.5,-113.98,-9.428571429
46.99,-104.16,-8.666666667
42.55,-99.85,-12.08571429
41.57,-101.69,-10.75
42.51,-99.03,-4.944444444
40.37,-95.75,-8.925
40.13,-99.83,-3.225
41.67,-103.1,-5.841269841
41.41,-99.68,-5.430555556
41.77,-99.18,-14.93333333
42.91,-98.85,-7.242857143
40.28,-100.14,-1.95
41.46,-97.33,-4.847222222
40.61,-96.87,-6.486111111
40.23,-100.83,-1.575
40.07,-97.17,-9.671428571
41.43,-96.47,-5.525
40.54,-97.59,-11.525
41.45,-97.76,-9.275
42.9,-102.2,-6.444444444
40.94,-100.15,-7.157142857
42.69,-103.88,-2.763888889
40.65,-98.38,-4.575
40.18,-97.59,-6.65
40.45,-99.38,-2.7
40.51,-101.65,-3.671428571
40.73,-99.01,-10.825
41.21,-101.67,-0.9
41.15,-102.64,-0.555555556
40.85,-101.54,-4.5
40.52,-98.95,-3.925
42.06,-97.97,-5.5
41.13,-101.72,-1.583333333
41.18,-97.55,-6.861111111
41.4,-102.35,-10.17142857
41.03,-98.92,-5.375
40.1,-98.52,-3.722222222
40.67,-96.19,-8.375
40.35,-96.19,-3.25
41.85,-96.71,-3.35
36.44,-115.36,-0.53968254
39.46,-118.78,-1.633333333
38.95,-119.78,-5.625
40.2,-115.49,-6.75
35.47,-114.92,-6.158730159
44.45,-71.19,0.475
43.14,-70.95,-6.1
45.09,-71.29,-2.725
43.71,-72.29,-8.05
42.94,-72.32,0.675
44.26,-71.25,-1.475
40.74,-74.35,-10.9
41.03,-74.42,-6.875
40.57,-74.88,-7.75
40.27,-74.56,-8.65
39.8,-74.78,-13.56666667
35.87,-103.18,9.166666667
32.75,-104.38,3.225
36.84,-108,-5.333333333
32.9,-107.31,-4.428571429
36.47,-104.95,-0.2
32.83,-108.5,-0.25
34.6,-103.22,5.975
35.41,-104.19,8.757142857
35.86,-106.32,-5.957142857
32.95,-105.82,0.833333333
35.2,-103.69,-4.277777778
35.95,-106.75,-8.928571429
43.22,-78.22,-8.666666667
42.31,-78.02,-4.775
43.44,-75.37,0.85
42.85,-77.28,-9.825
42.72,-74.93,0.275
42.56,-77.72,-8.442857143
42.25,-74.91,-0.866666667
42.1,-76.84,-4.075
42.33,-78.46,-4.5
44.35,-75.51,-0.8
43.75,-74.28,-0.325
42.45,-76.45,-5.125
43.79,-75.48,-1.9
41.77,-74.15,-13.35714286
42.51,-75.52,-2.871428571
43.45,-76.54,-8.015873016
41.39,-74.69,-0.125
40.96,-72.72,-13.58333333
35.71,-79.84,6.2
35.5,-82.6,-3.033333333
35.91,-79.08,2.1
35.41,-80.56,1.45
35.31,-83.17,6.45
36.02,-76.55,-2.875
35.06,-78.86,-3.714285714
35.18,-83.39,2.875
35.27,-81.14,3.375
34.89,-79.69,3.527777778
35.06,-83.2,-0.652777778
35.97,-79.97,-3
36.4,-77.42,4.053571429
35.18,-79.68,-5.625
34.75,-79.47,0.9
35.91,-81.54,5.85
35.85,-80.26,7.95
35.8,-82.67,-5.375
34.98,-80.52,4.027777778
34.73,-76.74,5.325
35.73,-81.67,6.333333333
36.5,-80.65,1.825
35.27,-82.65,0.425
35.87,-76.66,-1.625
35.79,-78.7,1.638888889
35.68,-80.48,1.675
35.31,-81.57,-3.325
35.81,-80.88,10.075
35.88,-77.54,1.416666667
36.4,-81.31,-2.557142857
35.21,-82.25,6.025
35.49,-82.97,3.6
35.85,-77.03,1.625
35.69,-77.95,3.325
46.04,-99.37,-1.694444444
48.82,-100.45,-3.625
46.19,-103.37,-2.25
48.92,-103.3,-4.611111111
46.16,-98.4,-3.15
47.92,-97.1,-0.275
46.88,-98.69,1.725
48.67,-102.1,-1.7
47.48,-100.45,-6.628571429
47.58,-98.64,-3.325
46.39,-97.24,-1.583333333
48.18,-101.3,-0.675
46.51,-99.77,1.333333333
46.54,-102.87,-7.433333333
46.89,-101.49,-3.5
47.52,-100.89,-1.375
48.61,-100.73,-1.785714286
40.35,-83.78,-4.396825397
41.38,-83.61,-6.975
40.81,-82.97,-8.925
41.59,-81.19,-7.475
39.61,-82.96,-2
40.24,-81.87,-0.9
41.28,-84.38,-9.55
41.05,-83.66,-12.375
38.82,-82.18,-0.277777778
40.1,-84.65,-12.93333333
39.23,-83.61,-3.1
41.31,-81.15,-4.5
40.72,-84.13,-7.833333333
40.19,-83.27,-13.35714286
40.09,-82.41,-3.05
39.73,-82.22,-3.125
41.75,-81.3,-17.075
40.95,-83.96,-9.6
38.76,-82.89,0.9
40.1,-83.78,-8.185714286
40.85,-84.58,-1.75
41.2,-80.81,-1.875
41.52,-84.15,-5.4
39.11,-82.98,-1.75
40.78,-81.92,-9.7
39.6,-83.91,-9.625
35.39,-99.51,-0.666666667
36.42,-97.87,5.95
36.59,-101.62,6.125
36.23,-99.17,2.553571429
36.39,-95.06,7.722222222
45.72,-120.21,3.317460317
42.21,-122.71,-6.95
43.15,-124.4,-5.222222222
45.64,-121.95,-13.975
46.11,-123.21,-10.2
45.21,-123.89,-10.95
44.63,-123.19,-8.966666667
43.79,-123.03,-4.071428571
43.72,-123.06,-6.785714286
42.9,-122.13,-3.416666667
44.95,-123.29,-13.425
43.78,-122.96,-9.8
45.27,-122.32,-15.15277778
45.52,-123.1,-3.942857143
45.3,-121.74,-9.888888889
45.45,-122.15,-18.25
45.37,-119.56,-7.757142857
45.68,-121.52,-17.56666667
44.1,-122.69,-7.475
43.98,-117.02,-3.9
44.61,-121.95,-13.425
45.48,-120.72,-5.2
45.03,-123.92,-5.175
43.65,-117.25,2.575
42.73,-122.52,-16.61428571
42.95,-123.36,-12.925
44.79,-122.82,-7.73015873
45.12,-122.07,-6.857142857
43.68,-121.69,-8.079365079
41.9,-78.71,-6.375
39.8,-79.37,-11.35
41.4,-79.83,-5.027777778
40.6,-79.12,-4.975
41.5,-80.47,-7.285714286
41.68,-78.8,-7.25
40.12,-76.43,-12.16666667
41.42,-78.75,-9.375
40.06,-77.52,-6.875
41.06,-80.06,-2.7
40.79,-77.87,-7
41.75,-76.44,-5.914285714
41.85,-79.15,-5.325
41.49,-71.54,-17.575
34.53,-82.66,2.4
33.29,-81.03,2.888888889
34.09,-82.59,-0.875
34.7,-79.88,3.133333333
34.68,-81.2,1.925
33.66,-82.19,-6.666666667
34.66,-82.82,2.3
33.99,-81.02,-1.349206349
34.3,-79.88,3
34.5,-82.02,4.263888889
34.2,-81.41,2.725
34.88,-82.72,6.444444444
33.99,-81.77,5.277777778
34.64,-81.52,0.375
33.94,-80.35,8.541666667
34.61,-81.67,2.5
34.75,-83.08,6.525
34.37,-81.08,3.242857143
34.94,-81.04,-0.458333333
43.49,-99.06,-8.975
43.65,-97.8,-3.75
45.53,-102.47,-10.375
45.79,-97.75,0.095238095
44.33,-96.77,-2.575
43.31,-96.59,0.633333333
43.04,-96.9,-2.5
43.96,-101.86,-6.73015873
44.38,-97.55,-4.416666667
45.77,-99.62,-0.3
45.03,-99.12,-4.319444444
44.05,-96.59,0.763888889
44.07,-98.08,-6.271428571
44.41,-103.48,-7.325
45.02,-99.94,-0.066666667
43.24,-99.43,-5.075
43.44,-103.47,-10.925
43.9,-99.86,-10.55
44.35,-103.74,-12.85
45.94,-102.16,-15.2
45.84,-101.28,-8.95
43.24,-97.57,-10.575
44.52,-98.98,-3.085714286
43.89,-100.71,-11.625
44.71,-103.43,-9.875
43.19,-103.24,-8.285714286
45.9,-100.29,-7.972222222
45.67,-97.04,-0.194444444
45.43,-101.08,-8.725
42.99,-97.87,-5.95
42.76,-96.92,-8.625
43.69,-98.67,-3.930555556
43.37,-99.84,-6.4
43.5,-100.48,-2.725
36.38,-84.87,-5.611111111
35.59,-89.26,8.085714286
36.25,-85.95,9.7
36.55,-87.34,-2.05
36.01,-85.13,-8.396825397
36.08,-87.4,4.114285714
35.69,-83.54,3.444444444
36.11,-82.84,6.725
35.62,-88.85,4.291666667
36.52,-82.53,3.625
35.41,-86.81,0.875
36.34,-88.86,10.33333333
35.67,-85.78,1.1
35.92,-86.37,10.8
35.98,-83.2,3.4
36.42,-82.98,6.793650794
36.47,-86.84,-0.225
36.39,-89.03,-0.625
35.3,-87.76,-3.175
31.74,-99.98,-1.471428571
30.07,-94.29,-0.5
28.46,-97.71,2.6
29.8,-98.74,0.05
31.14,-99.35,-1.125
34.98,-101.93,6.9
32.31,-97.41,6.471428571
30.33,-95.48,-1.888888889
33.66,-101.28,-1.975
33.2,-97.11,2.861111111
29.47,-96.94,1.35
32.18,-94.8,4.2
32.02,-97.11,0.930555556
30.71,-95.54,0.7
33.21,-98.17,9.633333333
33.55,-102.38,5.25
30.74,-98.65,-5.125
29.68,-97.66,-0.166666667
30.94,-95.92,6.777777778
32.49,-94.33,3.1
34.73,-100.54,1.625
30.67,-104.02,-2.871428571
34.22,-102.73,2.375
34.19,-101.7,-3.416666667
32.45,-100.53,3.625
31.81,-95.14,1.433333333
32.71,-102.66,-0.457142857
33.7,-96.64,0.375
33.15,-95.63,-1.25
34.56,-101.72,2.6
32.75,-97.77,3.933333333
32.7,-96.02,0.175
37.44,-112.48,-11.04166667
38.71,-112.95,-6.125
37.61,-109.48,-11.575
40.62,-111.78,-2.271428571
40.4,-111.53,-12.3
39.29,-112.65,-4.55
40.17,-110.4,-13.75
40.97,-111.43,-12.85
40.36,-109.35,-8.166666667
37.03,-112.54,-13.225
41.83,-111.32,-4.6
39.56,-111.87,-6.777777778
41.75,-111.8,-8.25
39.26,-111.63,-8.4
39.71,-111.83,-2.75
39.37,-112.33,-0.825
39.63,-113.89,-7.180555556
41.26,-111.84,-4.385714286
41.91,-111.81,-9.714285714
40.29,-109.96,-8.507936508
39.96,-111.78,-7
40.6,-111.58,-1.233333333
40.08,-111.6,-8.513888889
40.54,-112.32,-10.05
40.44,-109.54,-7.027777778
41.51,-111.16,-9.857142857
37.21,-112.98,-7.725
44.95,-72.19,-0.428571429
43.63,-72.98,3.575
44.42,-72.02,-4.3
37.2,-80.41,-7.875
37.09,-81.34,0.285714286
38.03,-78.52,-5.4
36.82,-79.41,2.225
38.45,-78.94,-5.225
38,-79.83,-2.85
36.6,-78.3,-8.619047619
37.78,-79.44,2.725
39.14,-77.71,6.328571429
38.04,-78.01,-4.95
38.23,-78.12,-1.8
36.73,-76.6,-2.425
37.74,-77.04,-3.3
37.99,-76.78,0.466666667
37.3,-76.7,-1.944444444
36.94,-81.06,-1.206349206
48.99,-122.76,-16.22222222
47.41,-121.76,-4.15
46.72,-122.95,-4.214285714
48.27,-117.74,-6.6
48.97,-122.33,-10.975
48.54,-121.74,2
47.66,-118.16,1.777777778
46.32,-118,-1.3
48.71,-121.14,-5.833333333
47.01,-123.4,-12.125
47.96,-124.35,-14.775
46.82,-117.88,0.966666667
47,-118.57,-8.375
47.14,-121.94,-13.525
48.9,-117.83,0.583333333
47.33,-118.7,-3.65
47.31,-121.86,-18.94285714
46.76,-117.19,-11.05555556
48.65,-118.74,-5.25
46.31,-119.26,3.528571429
47.12,-118.37,-2.5
47.23,-117.36,-7.275
45.68,-122.65,3.694444444
47.43,-120.31,-6.069444444
47.77,-118.72,-0.5
48.47,-120.19,-6.638888889
39.27,-79.37,-2.057142857
37.76,-81.19,0.65
38.98,-80.22,-3.35
39.27,-80.35,-12.41428571
39.46,-80.14,-6.85
38.93,-80.83,-0.55
38.68,-82.18,-3.396825397
38.19,-81.37,-6.175
38.1,-81.85,-7.775
39.47,-80.86,-8.125
39.62,-79.97,-0.571428571
38.82,-81.71,-8.875
38.8,-81.36,2.232142857
37.79,-80.31,-1.1
38.53,-81.92,-6.888888889
44.33,-91.92,-2.375
45.3,-92.36,-0.6
44.28,-88.44,-1.15
43.46,-89.73,-5.775
45.09,-91.49,-0.75
42.62,-89.39,-4.375
44.03,-88.15,-0.4
44.62,-88.75,-1.5
45.53,-92.02,1.828571429
44.73,-92.46,0.527777778
43.8,-88.45,-0.271428571
42.91,-88.86,-3.65
43.57,-91.23,-4.611111111
43.24,-88.12,-2.805555556
46.25,-91.8,2.517857143
44.12,-89.54,-2.2
42.56,-87.82,-6
42.83,-90.79,-3.15
43.21,-91.1,-5.1
44.09,-87.65,1.3
45.1,-87.62,4.7
44.64,-90.13,-2.65
44.17,-90.35,-3.875
45.13,-90.34,-3.433333333
45.18,-89.66,0.25
45.89,-89.73,3.458333333
44.54,-90.54,-2.65
44.89,-87.96,1.825
44.02,-88.56,-3.7
43.73,-87.97,-0.944444444
43.53,-89.44,-0.587301587
43.05,-91.14,-2.275
42.7,-87.79,1.2
45.6,-89.45,2.430555556
45.42,-91.77,-2.571428571
44.85,-92.61,-1
44.75,-89.25,-4.763888889
45.41,-92.65,-2.902777778
44.76,-88.62,1.8
45.82,-91.88,-1.1
44.51,-89.59,-1.325
44.88,-87.34,1.875
44,-91.44,-7.013888889
44.14,-87.57,4.5
43.56,-90.88,-2.694444444
45.36,-86.89,4.8
43.17,-88.74,1.2
44.35,-89.06,-1.208333333
42.85,-88.72,-1.208333333
43.61,-89.76,-2.8
43.77,-111.03,-2.761904762
44.38,-108.04,-10.6
44.1,-105.12,-10.69444444
44.27,-105.45,-15.27777778
43.49,-110.76,1.55
43.71,-106.64,-7.275
44.84,-108.4,-8.722222222
43.86,-110.59,0.475
43.85,-104.19,-5.535714286
43.25,-104.29,-11.85
44.84,-106.84,-14.3968254
44.92,-110.42,-5
44.09,-104.61,-12.30357143
44.98,-110.7,-5.430555556
35.14,-111.67,-10.65
33.63,-116.16,-1.675
33.8,-118.34,-4.777777778
39.34,-81.44,-7.3
35.74,-81.38,-1.625
35.59,-88.92,1.2
32.69,-83.65,-0.25
37.07,-88.77,-5.325
33.37,-81.96,-2.85
32.13,-81.2,-2.275
36,-84.22,-2.525
30.59,-96.36,-0.638888889
38.78,-97.64,-10.06349206
36.77,-96.01,2.325
42.2,-75.98,-6.861111111
28.42,-81.32,-3.5
29.17,-81.07,-3.3
27.96,-82.54,-4.05
30,-90.28,0.75
29.95,-94.03,-0.725
29.65,-95.28,-0.65
25.92,-97.42,0.388888889
29.54,-98.48,0.05
27.78,-97.51,-0.513888889
28.72,-96.25,1
38.3,-76.42,-4.328571429
35.89,-78.78,-1.8
36.1,-79.94,-8.375
39.38,-74.42,-13.05
38.89,-79.86,-11.88888889
